town_id,town_name,lat,lon,date,temp_min,temp_max,temp_avg,humidity_avg,humidity_max,dew_point_avg,wind_speed_avg,wind_speed_max,precipitation_total,clouds_avg
1,哈尔滨市,45.58,126.29,2026-04-24,4.72,21.47,13.1,28,28,-1.48,8.83,13.32,0.5,42
2,尚志市,45.21,127.96,2026-04-24,2.87,18.68,10.8,30,30,-2.27,6.46,12.86,8.8,2
3,五常市,44.92,127.16,2026-04-24,3.25,19.73,11.5,28,28,-0.47,7,12.35,0.6,3
4,巴彦县,46.08,127.4,2026-04-24,2.79,17.07,9.9,31,31,-3.6,9.41,15.38,0.1,7
5,宾县,45.75,127.48,2026-04-24,2.35,17.3,9.8,29,29,-2.82,7.56,13.26,0.7,2
6,方正县,45.83,128.82,2026-04-24,0.64,17.74,9.2,23,23,-5.72,5.69,11.57,1.2,9
7,木兰县,45.95,128.04,2026-04-24,1.73,16.95,9.3,31,31,-3.95,7.9,13.19,1.0,1
8,通河县,45.97,128.75,2026-04-24,1.45,16.9,9.2,28,28,-5,7.56,11.94,1.4,10
9,延寿县,45.45,128.33,2026-04-24,1.68,17.25,9.5,28,28,-3.75,7.44,12.24,1.8,3
10,依兰县,46.31,129.56,2026-04-24,0.46,14.74,7.6,30,30,-5.29,6.94,11.39,0,42
11,齐齐哈尔市,47.35,123.84,2026-04-24,4.99,13.51,9.2,37,37,-4.21,9.23,14.84,0,100
12,讷河市,48.46,124.88,2026-04-24,3.3,8.49,5.9,41,41,-4.28,6.29,13.7,2.1,100
13,拜泉县,47.6,126.09,2026-04-24,2.68,13.16,7.9,29,29,-4.99,8.92,14.83,1.5,73
14,富裕县,47.77,124.47,2026-04-24,4.19,11.6,7.9,42,42,-3.21,6.8,14.47,0.7,100
15,甘南县,47.91,123.5,2026-04-24,4.88,12.52,8.7,43,43,-2.41,8.17,11.7,0,100
16,克东县,48.04,126.25,2026-04-24,1.97,12.02,7.0,31,31,-5.3,8.08,13.72,1.8,90
17,克山县,48.04,125.88,2026-04-24,2.88,11.6,7.2,29,29,-5.59,7.39,13.71,0.8,100
18,龙江县,47.33,123.2,2026-04-24,4.8,13.25,9.0,35,35,-3.9,8.9,13.61,0,100
19,泰来县,46.39,123.41,2026-04-24,6.96,14.8,10.9,30,30,-4.14,8.27,17.02,0,100
20,依安县,47.89,125.3,2026-04-24,3.63,11.03,7.3,34,34,-4.81,6.91,14.03,0.1,100
21,牡丹江市,44.57,129.55,2026-04-24,0.37,15.94,8.2,30,30,-4.46,6.96,11.58,1.7,4
22,东宁市,44.09,131.12,2026-04-24,0.77,12.66,6.7,36,36,-4.65,7.07,9.65,0,1
23,海林市,44.59,129.37,2026-04-24,0.62,15.54,8.1,33,33,-4.23,7.2,11.59,2.3,4
24,穆棱市,44.92,130.52,2026-04-24,-0.03,13.51,6.7,29,29,-6.42,6.87,13.83,1.1,15
25,宁安市,44.34,129.48,2026-04-24,0.97,15.79,8.4,31,31,-3.1,8.33,12.74,1.0,2
26,绥芬河市,44.41,131.16,2026-04-24,-2.74,9.52,3.4,35,35,-6.54,4.9,9.5,0,9
27,林口县,45.28,130.27,2026-04-24,-0.3,13.84,6.8,29,29,-6.53,6.93,14.49,0.5,51
28,佳木斯市,46.8,130.31,2026-04-24,1.16,12.83,7.0,32,32,-4.92,7.32,14.6,0.2,32
29,抚远市,48.36,134.3,2026-04-24,-0.22,9.11,4.4,49,49,-2.28,4.55,7.6,0,8
30,富锦市,46.33,132.19,2026-04-24,0.04,11.08,5.6,40,40,-3.87,7.54,15.54,0,25
31,同江市,47.64,132.5,2026-04-24,0.24,9.72,5.0,48,48,-1.88,5.87,11.07,0,6
32,桦川县,46.24,130.55,2026-04-24,0.28,12.16,6.2,34,34,-4.73,9.51,16.7,0.1,76
33,桦南县,46.24,130.55,2026-04-24,0.28,12.16,6.2,34,34,-4.73,9.51,16.7,0.1,76
34,汤原县,46.73,129.9,2026-04-24,0.69,13.01,6.8,33,33,-4.81,6.95,12.49,0.1,57
35,大庆市,46.58,125.1,2026-04-24,4.85,17.27,11.1,26,26,-4.04,9.25,14.76,0.3,69
36,杜尔伯特蒙古族自治县,46.86,124.44,2026-04-24,5.25,14.13,9.7,30,30,-4.12,8.49,14.88,0.2,99
37,林甸县,47.17,124.86,2026-04-24,4.54,15,9.8,28,28,-5.17,8.05,15.04,0.1,96
38,肇源县,45.52,125.08,2026-04-24,6.05,20.96,13.5,30,30,1.5,8.64,14.23,0.1,22
39,肇州县,45.7,125.26,2026-04-24,5.6,20.54,13.1,29,29,0.52,9.24,14.48,0.2,31
40,鸡西市,45.3,125.1,2026-04-24,6.32,21.06,13.7,28,28,1.17,8.63,14.1,0.2,39
41,虎林市,45.76,132.93,2026-04-24,0.26,10.89,5.6,44,44,-2.68,9.26,19.72,0,10
42,密山市,45.53,131.84,2026-04-24,-0.33,9.01,4.3,42,42,-3.74,6.52,12.78,0,79
43,鸡东县,45.26,131.12,2026-04-24,-0.05,12.9,6.4,34,34,-5.03,6.87,12.12,0.7,53
44,双鸭山市,46.64,131.15,2026-04-24,0.39,11.49,5.9,38,38,-3.96,5.95,12.51,0,62
45,宝清县,46.33,132.19,2026-04-24,0.04,11.08,5.6,40,40,-3.87,7.54,15.54,0,25
46,集贤县,46.73,131.13,2026-04-24,0.63,11.82,6.2,40,40,-3.28,6.38,11.62,0,63
47,饶河县,46.79,134.01,2026-04-24,-0.95,11.08,5.1,43,43,-2.09,2.81,5.09,0,12
48,友谊县,46.77,131.8,2026-04-24,0.25,11.34,5.8,42,42,-2.98,6.99,14.26,0,34
49,伊春市,47.72,128.84,2026-04-24,-1.62,11.6,5.0,33,33,-5.28,7.15,12.08,1,35
50,铁力市,46.98,128.02,2026-04-24,0.32,13.78,7.0,29,29,-5.14,7.96,15.37,0.8,12
51,大箐山县,47.14,129.28,2026-04-24,-1.85,10.98,4.6,34,34,-5.53,6.16,10.15,0.9,19
52,丰林县,48.29,129.53,2026-04-24,-2.22,10.09,3.9,37,37,-4.78,5.91,12.08,0,63
53,嘉荫县,48.89,130.39,2026-04-24,-0.31,11.39,5.5,39,39,-3.08,7.76,14.99,0.1,56
54,南岔县,47.14,129.28,2026-04-24,-1.85,10.98,4.6,34,34,-5.53,6.16,10.15,0.9,19
55,汤旺县,48.45,129.43,2026-04-24,-2.75,9.5,3.4,37,37,-5.15,6.36,12.47,0.4,59
56,七台河市,45.77,131.0,2026-04-24,0.31,11.51,5.9,35,35,-4.97,6.86,14.96,0.2,80
57,勃利县,45.75,130.57,2026-04-24,-0.13,13.14,6.5,32,32,-5.68,6.08,16.25,0.3,96
58,鹤岗市,47.35,130.29,2026-04-24,-0.49,10.73,5.1,42,42,-3.31,6.76,11.4,0,24
59,萝北县,47.57,130.84,2026-04-24,0.61,10.75,5.7,44,44,-2.47,7.36,13.58,0,37
60,绥滨县,47.29,131.85,2026-04-24,0.36,10.86,5.6,44,44,-2.74,7.47,14.89,0,10
61,黑河市,50.24,127.52,2026-04-24,0.64,11.7,6.2,33,33,-5.26,7.16,10.92,6.2,93
62,北安市,48.24,126.49,2026-04-24,1.54,11.55,6.5,30,30,-5.85,7.18,12.85,2.7,99
63,嫩江市,49.18,125.22,2026-04-24,2.49,6.94,4.7,51,51,-2.76,5.66,13.69,1.6,100
64,五大连池市,48.51,126.19,2026-04-24,1.73,10.81,6.3,30,30,-6.39,6.55,13.2,2.5,100
65,孙吴县,49.43,127.33,2026-04-24,0.68,11.63,6.2,31,31,-6.13,5.59,10.31,7.4,100
66,逊克县,49.57,128.48,2026-04-24,0.65,12.71,6.7,31,31,-5.08,8.59,13.35,2.4,46
67,绥化市,46.65,126.96,2026-04-24,3.64,13.98,8.8,31,31,-4.18,9.49,15.45,0.6,17
68,安达市,46.45,125.3,2026-04-24,4.54,17.98,11.3,26,26,-3.66,9.32,14.96,0.4,60
69,海伦市,47.46,126.97,2026-04-24,1.95,13.67,7.8,28,28,-5.5,8.16,12.55,2.7,34
70,肇东市,46.06,125.98,2026-04-24,3.84,18.97,11.4,26,26,-3.12,9.23,13.74,0.5,41
71,兰西县,46.26,126.29,2026-04-24,3.46,17.28,10.4,27,27,-3.36,9.42,15.04,0.8,43
72,明水县,47.17,125.91,2026-04-24,2.88,13.77,8.3,28,28,-4.9,9.05,14.85,0.5,65
73,青冈县,46.69,126.1,2026-04-24,3.48,15.81,9.6,28,28,-4.17,9.68,14.54,0.5,48
74,庆安县,46.88,127.5,2026-04-24,1.73,14.74,8.2,25,25,-6.02,9.51,15.36,3.1,15
75,绥棱县,47.24,127.11,2026-04-24,2.01,14.65,8.3,26,26,-6.02,8.46,12.69,0.4,20
76,望奎县,46.83,126.48,2026-04-24,3.67,14.52,9.1,29,29,-4.26,9.02,14.73,1.2,45
77,加格达奇区,52.5,123.9,2026-04-24,-3.59,3.13,-0.2,74,74,-1.87,3.05,10.32,3.9,100
78,漠河市,52.97,122.54,2026-04-24,-1.35,5.36,2.0,44,44,-6.35,4.4,6.48,2.6,44
79,呼玛县,51.73,126.65,2026-04-24,-0.01,8.3,4.1,43,43,-3.7,5.73,12.21,7.0,100
80,塔河县,52.33,124.7,2026-04-24,-1.45,3.46,1.0,90,90,0.61,4.66,10.67,8.3,100
81,长春市,43.88,125.31,2026-04-24,9.15,22.52,15.8,29,29,2.1,8.85,12.55,0,51
82,公主岭市,43.5,124.82,2026-04-24,9.58,21.68,15.6,33,33,3.88,9.07,11.57,0,65
83,德惠市,44.53,125.7,2026-04-24,7.27,22.94,15.1,25,25,0.19,8.91,12.99,0,20
84,榆树市,44.82,126.55,2026-04-24,4.99,21.78,13.4,26,26,-0.68,8.27,13.11,1.4,4
85,农安县,44.43,125.18,2026-04-24,7.88,22.23,15.1,26,26,0.94,8.73,12.64,0,52
86,吉林市,43.83,126.55,2026-04-24,5.83,22.27,14.1,25,25,-0.37,7.65,13.01,1.5,15
87,蛟河市,43.72,127.34,2026-04-24,3.64,20.1,11.9,35,35,0.46,4.49,7.6,5.2,5
88,桦甸市,42.97,126.74,2026-04-24,6.14,22.29,14.2,23,23,-0.84,7.96,15.92,2.0,26
89,舒兰市,44.41,126.96,2026-04-24,4.77,20.63,12.7,29,29,0.23,7.39,13.79,7.9,4
90,磐石市,42.94,126.06,2026-04-24,7.45,22.15,14.8,27,27,0.88,7.52,13.89,1.4,60
91,永吉县,43.67,126.5,2026-04-24,6.2,21.76,14.0,27,27,-0.18,7.45,11.91,1.9,12
92,四平市,43.16,124.35,2026-04-24,11.05,22.08,16.6,33,33,4.25,9.37,15.52,0,100
93,双辽市,43.52,123.5,2026-04-24,10.39,21.58,16.0,38,38,4.17,7.71,13.19,0,100
94,梨树县,43.3,124.33,2026-04-24,11.24,21.89,16.6,33,33,3.87,9.16,14.32,0,96
95,伊通满族自治县,43.34,125.3,2026-04-24,9.29,21.97,15.6,32,32,3.78,8.98,12.04,0.4,46
96,辽源市,42.88,125.14,2026-04-24,9.01,22.46,15.7,32,32,4.18,9.16,13.09,0.5,57
97,东丰县,42.67,125.53,2026-04-24,8.53,22.54,15.5,30,30,2.56,7.78,14.12,1.8,13
98,东辽县,42.92,124.99,2026-04-24,9.01,22.27,15.6,34,34,4.41,9.39,12.85,0.5,72
99,通化市,41.73,125.94,2026-04-24,7.04,19.96,13.5,27,27,-0.94,6.77,12.51,0.5,49
100,梅河口市,42.53,125.68,2026-04-24,8.85,22.82,15.8,28,28,1.53,8.31,16.01,1.5,28
101,集安市,41.12,126.19,2026-04-24,6.82,22.68,14.8,25,25,-0.39,6.54,10.93,0,64
102,通化县,41.68,125.76,2026-04-24,6.71,20.27,13.5,28,28,-0.54,7.5,12.44,0.4,44
103,辉南县,42.68,126.04,2026-04-24,8.31,22.23,15.3,26,26,0.78,7.78,14.56,1.5,34
104,柳河县,42.28,125.74,2026-04-24,8.11,21.96,15.0,27,27,0.43,7.07,8.96,0.6,28
105,白山市,41.93,126.42,2026-04-24,5.05,19.35,12.2,28,28,-0.16,6.26,11.59,0.2,43
106,临江市,41.81,126.92,2026-04-24,4.12,19.68,11.9,24,24,-2.65,5.6,11.29,0,39
107,抚松县,42.33,127.28,2026-04-24,5.02,21.59,13.3,21,21,-3.7,6.11,10.84,0.5,40
108,靖宇县,42.38,126.81,2026-04-24,5.78,20.93,13.4,23,23,-2.32,5.42,12.56,0.5,33
109,长白朝鲜族自治县,41.41,128.2,2026-04-24,4.37,20.47,12.4,20,20,-5.61,6.39,7.38,0,27
110,松原市,45.14,124.82,2026-04-24,7.19,20.99,14.1,28,28,1.2,8.85,14.92,0.2,46
111,扶余市,44.98,126.05,2026-04-24,5.44,22.1,13.8,26,26,-0.55,9.19,13.35,0.3,20
112,长岭县,44.27,123.96,2026-04-24,8.54,19.65,14.1,34,34,2.14,8.8,15.23,0,100
113,乾安县,45.0,124.03,2026-04-24,8.46,18.56,13.5,32,32,1.44,8.16,16.27,0,70
114,前郭尔罗斯蒙古族自治县,45.11,124.82,2026-04-24,7.22,20.99,14.1,28,28,1.22,8.91,14.95,0.2,45
115,白城市,41.93,126.42,2026-04-24,5.05,19.35,12.2,28,28,-0.16,6.26,11.59,0.2,43
116,洮南市,45.36,122.79,2026-04-24,8.43,17.28,12.9,27,27,-2.61,8.07,17.01,0,100
117,大安市,45.51,124.29,2026-04-24,6.91,18.2,12.6,33,33,1.44,8.17,15.9,0,69
118,镇赉县,45.85,123.2,2026-04-24,7.91,15.78,11.8,30,30,-2.87,8.64,17.27,0,100
119,通榆县,44.8,123.09,2026-04-24,9.28,18.61,13.9,34,34,1.13,7.9,16.33,0,100
120,延吉市,42.89,129.5,2026-04-24,3.32,16.1,9.7,32,32,-2.4,7.09,9.77,0.2,6
121,图们市,42.97,129.84,2026-04-24,2.83,14.14,8.5,28,28,-5.42,7.58,11.2,0,7
122,敦化市,43.37,128.23,2026-04-24,1.02,16.5,8.8,33,33,-0.88,8.6,12.24,2.0,3
123,珲春市,42.86,130.36,2026-04-24,3.09,12.45,7.8,27,27,-6.02,6.93,10.57,0,10
124,龙井市,42.76,129.42,2026-04-24,3.17,16.63,9.9,32,32,-1.9,6.67,7.49,0.2,4
125,和龙市,42.54,129.0,2026-04-24,2.4,17.89,10.1,29,29,-2.8,4.04,3.66,0,9
126,汪清县,43.31,129.76,2026-04-24,1.31,13,7.2,37,37,-2.42,6.62,11.92,0.1,5
127,安图县,43.11,128.9,2026-04-24,2.31,15.63,9.0,36,36,-1.24,6.35,9.88,0,6
128,海拉尔区,49.23,119.82,2026-04-24,-1.02,5.23,2.1,25,25,-14.02,9.06,11.13,0,2
129,满洲里市,49.58,117.43,2026-04-24,-3.48,5.47,1.0,20,20,-17.12,9.99,12.01,0,0
130,牙克石市,49.28,120.73,2026-04-24,-2.06,4.29,1.1,34,34,-11.23,8.1,10.87,4.0,12
131,扎兰屯市,48.01,122.75,2026-04-24,2.32,11.54,6.9,39,39,-4.47,8.95,10.36,0,100
132,额尔古纳市,50.24,120.18,2026-04-24,-1.51,5.02,1.8,27,27,-13.31,7.78,12.2,0.4,34
133,根河市,50.78,121.52,2026-04-24,-3.99,3.1,-0.4,49,49,-8.02,4.92,6.81,1.6,92
134,阿荣旗,48.12,123.45,2026-04-24,3.96,11.88,7.9,67,67,1.18,8.07,11.87,0.1,100
135,陈巴尔虎旗,49.33,119.43,2026-04-24,-1.23,5.75,2.3,19,19,-16.36,9.19,11.44,0,28
136,新巴尔虎左旗,48.22,118.27,2026-04-24,-0.64,6.36,2.9,16,16,-18.93,8.56,12.58,0,0
137,新巴尔虎右旗,48.67,116.82,2026-04-24,-1.39,7.35,3.0,14,14,-19.98,8.94,11.93,0,0
138,莫力达瓦达斡尔族自治旗,48.48,124.51,2026-04-24,3.37,9.18,6.3,50,50,-3,5.11,12.14,0.7,100
139,鄂伦春自治旗,50.59,123.72,2026-04-24,-1.56,6.72,2.6,60,60,-2.22,4.75,11.23,2.4,100
140,鄂温克族自治旗,49.15,119.75,2026-04-24,-0.71,5.46,2.4,25,25,-14.24,9.15,11.24,0.2,2
141,乌兰浩特市,46.07,122.09,2026-04-24,6.06,16.01,11.0,29,29,-3.51,8.76,15.64,0.1,100
142,阿尔山市,47.17,119.93,2026-04-24,-0.36,4.65,2.1,28,28,-13.04,10.64,15.47,0.3,97
143,突泉县,45.38,121.56,2026-04-24,5.88,16.93,11.4,26,26,-3.63,8.25,10.45,0,97
144,科尔沁右翼前旗,46.08,121.95,2026-04-24,5.56,15.89,10.7,29,29,-3.37,9.26,15.08,0.1,100
145,科尔沁右翼中旗,45.06,121.47,2026-04-24,6.33,17.11,11.7,24,24,-3.74,8.9,10.3,0,67
146,扎赉特旗,46.72,122.89,2026-04-24,6.26,14.65,10.5,32,32,-3.73,8.62,15.11,0,100
147,科尔沁区,43.65,122.24,2026-04-24,9.89,20.27,15.1,33,33,1.33,7.35,10.74,0,100
148,霍林郭勒市,45.53,119.66,2026-04-24,4.47,10.84,7.7,21,21,-12.13,9.93,13.74,0,48
149,开鲁县,43.6,121.31,2026-04-24,10.77,20.99,15.9,22,22,-3.99,7.98,9.31,0,100
150,科尔沁左翼中旗,44.12,123.31,2026-04-24,9.98,19.77,14.9,37,37,3.8,7.9,11.25,0,100
151,科尔沁左翼后旗,42.96,122.36,2026-04-24,9.95,21.96,16.0,38,38,5.13,8.4,13.51,0,100
152,库伦旗,42.73,121.81,2026-04-24,10.4,21.66,16.0,31,31,3.71,8.35,9.26,0,100
153,奈曼旗,42.84,120.66,2026-04-24,12.58,20.24,16.4,23,23,-3.55,9.75,12.39,0,100
154,扎鲁特旗,44.56,120.91,2026-04-24,8.22,18.83,13.5,19,19,-5.53,8.85,10.36,0,46
155,赤峰市,42.26,118.89,2026-04-24,12.58,20.11,16.3,21,21,-5.02,8.05,12.85,0,100
156,林西县,43.61,118.06,2026-04-24,7.3,17.84,12.6,15,15,-11.61,8.18,12.83,0,25
157,宁城县,41.6,119.34,2026-04-24,11.71,21.72,16.7,28,28,1.97,7.49,9.15,0,100
158,阿鲁科尔沁旗,43.88,120.09,2026-04-24,8.97,20.16,14.6,16,16,-8.16,10.21,12.89,0,89
159,巴林左旗,43.98,119.38,2026-04-24,9.92,19.19,14.6,13,13,-11.4,10.42,16.09,0,58
160,巴林右旗,43.53,118.67,2026-04-24,8.55,18.53,13.5,13,13,-11.33,8.74,14.48,0,68
161,克什克腾旗,43.26,117.54,2026-04-24,7.85,16.71,12.3,14,14,-12.05,4.96,7.35,0,46
162,翁牛特旗,42.94,119.02,2026-04-24,11.96,19.19,15.6,20,20,-5.86,10.46,15.29,0,99
163,喀喇沁旗,41.93,118.7,2026-04-24,10.89,18.3,14.6,29,29,-1.19,5.53,11.42,0,100
164,敖汉旗,42.29,119.92,2026-04-24,12.93,19.03,16.0,22,22,-4.88,9.37,11.26,0,100
165,沈阳市,41.79,123.45,2026-04-24,14.21,24.54,19.4,30,30,3.08,8.69,14.82,0,100
166,新民市,41.98,122.83,2026-04-24,12.64,22.84,17.7,35,35,5.53,9.61,15.82,0,100
167,康平县,42.5,123.43,2026-04-24,13.08,22.59,17.8,34,34,4.82,9.57,15.5,0.5,100
168,法库县,42.5,123.43,2026-04-24,13.08,22.59,17.8,34,34,4.82,9.57,15.5,0.5,100
169,大连市,38.92,121.64,2026-04-24,11.61,22.02,16.8,46,46,5.68,4.78,12.51,0,4
170,瓦房店市,39.62,122.0,2026-04-24,11.65,22.62,17.1,32,32,3.3,9.04,11.97,0,11
171,庄河市,39.68,122.96,2026-04-24,8.27,16.72,12.5,51,51,5.35,7.38,10.07,0,21
172,长海县,39.28,122.59,2026-04-24,9.42,10.98,10.2,79,79,6.82,6.79,9.34,0,9
173,鞍山市,41.10,122.99,2026-04-24,13.53,24.28,18.9,25,25,1.67,10.94,14.53,2.0,98
174,海城市,40.85,122.75,2026-04-24,12.22,23.5,17.9,24,24,1.5,10.83,14.94,1.3,100
175,台安县,41.38,122.43,2026-04-24,12.65,21.61,17.1,35,35,4.78,10.59,15.96,0.2,100
176,岫岩满族自治县,40.29,123.28,2026-04-24,9.3,24.08,16.7,31,31,3.37,6.96,9.7,0,48
177,抚顺市,41.88,123.96,2026-04-24,10.97,23.83,17.4,32,32,4.31,10.42,13.48,0.4,85
178,抚顺县,41.88,123.91,2026-04-24,11.38,24.11,17.7,32,32,4.33,10.32,13.52,0.3,87
179,新宾满族自治县,41.73,125.03,2026-04-24,6.71,20.66,13.7,28,28,1.31,6.15,9.86,0.2,55
180,清原满族自治县,42.1,124.92,2026-04-24,8.53,21.91,15.2,28,28,2.08,6.89,14.84,1.3,44
181,本溪市,41.29,123.77,2026-04-24,10.96,23.74,17.4,27,27,0.86,7.77,12.4,1.4,100
182,本溪满族自治县,41.3,124.11,2026-04-24,9.51,23.03,16.3,27,27,-0.33,5.88,10.25,0.3,91
183,桓仁满族自治县,41.26,125.35,2026-04-24,7.12,22.15,14.6,22,22,-1.93,5.47,8.19,0.1,71
184,丹东市,40.00,124.35,2026-04-24,9.42,19.75,14.6,19,19,-4.6,7.14,9.21,0,11
185,东港市,39.86,124.15,2026-04-24,8.88,12.88,10.9,58,58,2.43,5.88,8.5,0,8
186,凤城市,40.45,124.06,2026-04-24,8.52,21.36,14.9,25,25,-0.69,6.68,9.1,0,18
187,宽甸满族自治县,40.73,124.78,2026-04-24,7.21,20.27,13.7,24,24,-2.12,8.08,10.2,0,21
188,锦州市,41.09,121.12,2026-04-24,10.65,22.67,16.7,40,40,7.3,6.89,13.85,8.8,99
189,凌海市,41.16,121.35,2026-04-24,9.84,17.76,13.8,51,51,7.22,7.68,16.64,1.4,100
190,北镇市,41.6,121.8,2026-04-24,10.18,22.81,16.5,45,45,7.15,6.22,13.89,0,100
191,黑山县,41.67,122.12,2026-04-24,11.46,22.98,17.2,41,41,6.75,8.78,17.74,0,100
192,义县,41.53,121.23,2026-04-24,11.27,25.37,18.3,38,38,6.91,5.83,11.65,0,100
193,营口市,40.66,122.23,2026-04-24,11.16,14.45,12.8,59,59,6.1,10.93,18.14,0.4,97
194,盖州市,40.4,122.35,2026-04-24,12.15,19.33,15.7,38,38,3.31,10.09,15.15,0.8,72
195,大石桥市,40.63,122.51,2026-04-24,12.64,22.9,17.8,25,25,1.89,10.99,15.1,0.7,100
196,阜新市,42.02,121.67,2026-04-24,12.6,23.65,18.1,40,40,6.58,6.18,14.43,0,100
197,阜新蒙古族自治县,42.06,121.75,2026-04-24,12.89,23.2,18.0,40,40,6.33,5.79,14.93,0,100
198,彰武县,42.38,122.54,2026-04-24,11.46,23.32,17.4,42,42,6.92,8.28,14.85,0,100
199,辽阳市,41.26,123.23,2026-04-24,12.77,24.98,18.9,26,26,2.02,9.88,13.97,1.4,98
200,灯塔市,41.42,123.33,2026-04-24,12.08,24.83,18.5,28,28,2.68,11.16,13.92,0.6,100
201,辽阳县,41.2,123.1,2026-04-24,13.48,24.51,19.0,25,25,1.77,10,14.01,1.4,99
202,盘锦市,41.12,122.07,2026-04-24,11.41,19.18,15.3,43,43,6.33,9.91,16.72,0,100
203,盘山县,41.24,121.99,2026-04-24,11.31,19.74,15.5,44,44,6.7,9.67,16.86,0,100
204,铁岭市,42.22,123.72,2026-04-24,12.84,24.03,18.4,31,31,4.34,10.38,15.3,0,100
205,调兵山市,42.47,123.55,2026-04-24,13.04,22.69,17.9,33,33,4.49,9.75,15.49,0.4,100
206,开原市,42.54,124.03,2026-04-24,11.96,23.51,17.7,32,32,4.7,10.06,14.91,0.1,98
207,铁岭县,42.22,123.72,2026-04-24,12.84,24.03,18.4,31,31,4.34,10.38,15.3,0,100
208,西丰县,42.74,124.72,2026-04-24,9.19,21.75,15.5,34,34,5,9.82,12.53,0,54
209,昌图县,42.78,124.1,2026-04-24,11.26,22.85,17.1,33,33,4.45,9.77,14.95,0,94
210,朝阳市,41.54,120.45,2026-04-24,13.51,25.59,19.6,29,29,4.78,8.22,10,0,100
211,北票市,41.8,120.77,2026-04-24,12.44,24.04,18.2,30,30,4.27,7.38,7.42,0.2,100
212,凌源市,41.24,119.4,2026-04-24,10.93,23.13,17.0,26,26,2.36,7.74,7.79,1.6,100
213,朝阳县,41.57,120.45,2026-04-24,13.5,25.39,19.4,29,29,4.7,8.1,9.95,0,100
214,建平县,41.4,119.64,2026-04-24,11.79,23.66,17.7,31,31,3.71,6.92,9.61,0.9,100
215,喀喇沁左翼蒙古族自治县,41.12,119.74,2026-04-24,11.41,24.23,17.8,35,35,5.51,5.84,9.99,5.4,100
216,葫芦岛市,40.56,120.38,2026-04-24,10.2,26.1,18.1,30,30,7.02,6.19,8,6.5,99
